: 1606100448:0;chsh -s $(which zsh)
: 1606100451:0;clear
: 1606100496:0;git clone --depth=1 https://github.com/romkatv/powerlevel10k.git ${ZSH_CUSTOM:-$HOME/.oh-my-zsh/custom}/themes/powerlevel10k
: 1606100562:0;nano .zshrc
: 1606100596:0;exit
: 1606100828:0;clear
: 1606101517:0;sudo apt install ttf-mscorefonts-installer fonts-firacode -y
: 1606101691:0;fc-cache --help
: 1606101696:0;fc-cache -rv
: 1606102480:0;sudo apt install ttf-mscorefonts-installer -y
: 1606104232:0;p10k-configure
: 1606104238:0;p10k-conf
: 1606104243:0;p10k
: 1606104248:0;p10k configure
: 1606104333:0;clear
: 1606105360:0;sudo apt install fonts-firacode -y
: 1606105375:0;fc-cache -f
: 1606105729:0;cd Development
: 1606105732:0;git clone https://github.com/flutter/flutter.git -b stable --depth 1
: 1606105740:0;clear
: 1606105793:0;sexport PATH="$PATH:`pwd`/flutter/bin"
: 1606105810:0;echo 'export PATH="$PATH:`pwd`/flutter/bin"'
: 1606105819:0;echo "$PATH:`pwd`/flutter/bin"
: 1606105827:0;echo "`pwd`/flutter/bin"
: 1606105877:0;echo 'export PATH="/home/mzamayias/Development/flutter/bin"' >> ~/.zshrc
: 1606105891:0;nano ~/.zsh
: 1606105895:0;nano ~/.zshrc
: 1606105933:0;export PATH="$PATH:`pwd`/flutter/bin"
: 1606105935:0;flutter
: 1606106006:0;flutter precache
: 1606106052:0;clear
: 1606106056:0;flutter doctor
: 1606107156:0;flutter emulators
: 1606107174:0;flutter emulators Pixel_3a_API_30_x86
: 1606107183:0;flutter emulators --launch Pixel_3a_API_30_x86
: 1606107219:0;flutter doctor
: 1606107286:0;exit
: 1606107293:0;flutter
: 1606107331:0;cd .jdks/openjdk-15.0.1/bin
: 1606107332:0;clear
: 1606107340:0;pwd
: 1606107685:0;flutter doctor
: 1606107701:0;cd
: 1606107721:0;cd Development/flutter/bin
: 1606107724:0;clear
: 1606107724:0;pwd
: 1606107783:0;cd
: 1606107798:0;source .zshrc
: 1606107815:0;code .zshrc
: 1606107926:0;echo $PATH
: 1606107945:0;clear
: 1606107947:0;source .zshrc
: 1606107955:0;exit
: 1606107965:0;flutter
: 1606107975:0;source .zshrc
: 1606108046:0;echo $PATH
: 1606108060:0;source .zshrc
: 1606108061:0;echo $PATH
: 1606108070:0;clear
: 1606108079:0;exit
: 1606108083:0;clear
: 1606108170:0;PATH=/bin:/usr/bin:/usr/local/bin:${PATH}\
export PATH\

: 1606108171:0;clear
: 1606108175:0;flutter
: 1606108178:0;exit
: 1606108182:0;clear
: 1606108219:0;exit
: 1606108316:0;exec /bin/zsh
: 1606108337:0;exec /usr/bin/zsh\

: 1606108339:0;clear
: 1606108341:0;exit
: 1606108348:0;clear
: 1606108517:0;nano .zshrc
: 1606108560:0;source ~/.bash_profile
: 1606108573:0;source ~/.bashrc
: 1606108584:0;source ~/.zshrc
: 1606108598:0;which zsh
: 1606108603:0;where zsh
: 1606108607:0;ls -1a
: 1606108615:0;cd /usr/bin
: 1606108616:0;ls
: 1606108619:0;cd ..
: 1606108620:0;ls
: 1606108622:0;clear
: 1606108713:0;ls
: 1606108725:0;cd /sbin
: 1606108726:0;clear
: 1606108727:0;ls
: 1606108731:0;cd..
: 1606108734:0;bash
: 1606108736:0;cd
: 1606108739:0;clear
: 1606108797:0;ls
: 1606108807:0;cd Development
: 1606108809:0;where dart
: 1606108813:0;which dart
: 1606108818:0;ls
: 1606108823:0;cd android-studio
: 1606108824:0;ls
: 1606108828:0;cd ..
: 1606108831:0;rm -rf android-studio
: 1606108832:0;clear
: 1606108833:0;ls
: 1606108868:0;cd flutter
: 1606108871:0;cd ..
: 1606108940:0;sudo apt update
: 1606108965:0;sudo apt install -y apt-transport-https
: 1606108975:0;sudo sh -c 'wget -qO- https://dl-ssl.google.com/linux/linux_signing_key.pub | apt-key add -'
: 1606108981:0;sudo sh -c 'wget -qO- https://storage.googleapis.com/download.dartlang.org/linux/debian/dart_stable.list > /etc/apt/sources.list.d/dart_stable.list'\

: 1606108988:0;sudo apt update
: 1606109016:0;sudo apt install -y dart
: 1606109060:0;echo 'export PATH="$PATH:`pwd`/bin"' >> ~/.zshrc
: 1606109067:0;echo 'export PATH="$PATH:/usr/lib/dart/bin"' >> ~/.profile
: 1606109117:0;echo 'export PATH="$PATH:`(pwd)`/bin"' >> ~/.zshrc
: 1606109137:0;echo 'export PATH="$PATH:/usr/lib/dart/bin"' >> ~/.zshrc
: 1606109143:0;pwd
: 1606109155:0;echo 'export PATH="$PATH:/home/mzamayias/Development/flutter"' >> ~/.zshrc
: 1606109164:0;clear
: 1606109173:0;source ~/.zshrc
: 1606109180:0;which flutter
: 1606109190:0;source ~/.zshrc
: 1606109196:0;which flutter
: 1606109198:0;which flutter dart
: 1606109200:0;exit
: 1606109236:0;flutter doctor
: 1606109286:0;ls .local/share/JetBrains/Toolbox/apps/AndroidStudio/
: 1606109294:0;ls .local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0
: 1606109303:0;ls .local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/201.6953283
: 1606109309:0;ls .local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/201.6953283.plugins
: 1606109319:0;ls .local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/201.6953283
: 1606109382:0;ls .local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/
: 1606109386:0;cd .local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/
: 1606109391:0;cd 201.6953283
: 1606109393:0;clear
: 1606109393:0;ls
: 1606109401:0;pwd
: 1606109426:0;flutter config --android-studio-dir="/home/mzamayias/.local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/201.6953283"
: 1606109434:0;flutter doctor
: 1606109445:0;flutter doctor --android-licenses
: 1606109455:0;clear
: 1606109506:0;flutter doctor
: 1606109520:0;flutter config --help
: 1606109547:0;ls
: 1606109548:0;cd ..
: 1606109550:0;ls
: 1606109553:0;pwd
: 1606109568:0;flutter config --android-studio-dir="/home/mzamayias/.local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0"
